2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:44 | 34.54.84.110 | 10.38.159.13 | TCP | 2794 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:44 | 34.54.84.110 | 10.38.159.13 | TCP | 479 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 102 | INTRUSION
2026-03-08 11:07:44 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:44 | 34.54.84.110 | 10.38.159.13 | TCP | 1356 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:44 | 34.54.84.110 | 10.38.159.13 | TCP | 93 | INTRUSION
2026-03-08 11:07:44 | 10.38.159.13 | 34.54.84.110 | TCP | 93 | INTRUSION
